phylotree_tip_name,Assembly.Identifier,Phylum,Class,Order,Family,Genus,Organism.Name,ln_Genome_size,eigenvector_1,eigenvector_2,eigenvector_3,eigenvector_4,eigenvector_5,eigenvector_6,eigenvector_7,eigenvector_8,eigenvector_9,eigenvector_10,eigenvector_11,eigenvector_12,Average_lifespan_days
Taenia_saginata_ott1021818,GCA_001693075.2_ASM169307v2,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia saginata,18.94602614,-0.061791199,0.006316634,0.00091225,3.87E-05,0.000362453,8.26E-05,0.000191649,-0.000220132,-0.000452655,-0.000128946,-0.081672048,0.121030289,9332.25
Hydatigera_taeniaeformis_taeniaeformis_ott5706087,GCA_900622495.1_H_taeniaeformis_Canary_Islands_0011_upd,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Hydatigera,Hydatigera taeniaeformis,18.45667086,-0.061791184,0.006316629,0.000912249,3.87E-05,0.000362452,8.26E-05,0.000191648,-0.00022013,-0.00045265,-0.000128945,-0.08167079,0.121028155,1505.775
Rodentolepis_nana_ott348019,GCA_900617975.1_H_nana_Japan_0011_upd,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Rodentolepis,Rodentolepis nana,18.90891429,-0.061790263,0.006316368,0.000912185,3.87E-05,0.000362394,8.25E-05,0.000191558,-0.000219972,-0.000452312,-0.000128821,-0.081591054,0.120892823,66.33333333
Hymenolepis_diminuta_ott445201,GCA_900708905.1_H._diminuta_assembly_from_ERS3052629-ERS3052634,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis,Hymenolepis diminuta,18.99362296,-0.061790357,0.006316395,0.000912192,3.87E-05,0.0003624,8.25E-05,0.000191568,-0.000219988,-0.000452347,-0.000128834,-0.081599237,0.120906708,5005.9
Hymenolepis_microstoma_ott1004838,GCA_000469805.3_HMN_v3,Platyhelminthes,Cestoda,Cyclophyllidea,Hymenolepididae,Hymenolepis,Hymenolepis microstoma,18.94507322,-0.061790357,0.006316395,0.000912192,3.87E-05,0.0003624,8.25E-05,0.000191568,-0.000219988,-0.000452347,-0.000128834,-0.081599237,0.120906708,983.7
Dipylidium_caninum_ott242958,GCA_017562135.1_ASM1756213v1,Platyhelminthes,Cestoda,Cyclophyllidea,Dipylidiidae,Dipylidium,Dipylidium caninum,18.50697125,-0.061789761,0.006316226,0.000912151,3.87E-05,0.000362363,8.25E-05,0.00019151,-0.000219886,-0.000452129,-0.000128754,-0.081547712,0.120819276,379.5642857
Spirometra_erinaceieuropaei_ott883817,GCA_902702965.1_SerJ_v2_0,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Spirometra,Spirometra erinaceieuropaei,20.49514663,-0.061787146,0.006315485,0.000911971,3.87E-05,0.000362199,8.24E-05,0.000191255,-0.000219437,-0.000451169,-0.000128404,-0.081320998,0.120434376,5218.575
Ligula_intestinalis_ott1038488,GCA_036362985.1_ASM3636298v1,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Ligula,Ligula intestinalis,20.46882242,-0.061787146,0.006315485,0.000911971,3.87E-05,0.000362199,8.24E-05,0.000191255,-0.000219437,-0.000451169,-0.000128404,-0.081320998,0.120434376,1661.4
Schistocephalus_solidus_ott1064216,GCA_017591395.1_ASM1759139v1,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus,20.25359401,-0.061787146,0.006315485,0.000911971,3.87E-05,0.000362199,8.24E-05,0.000191255,-0.000219437,-0.000451169,-0.000128404,-0.081320998,0.120434376,398.6625
Watersipora_subatra_ott5736426,GCA_963576615.1_tzWatSuba1.1,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subatra,20.47960382,-0.061709088,0.006293357,0.0009066,3.83E-05,0.000357291,8.01E-05,0.000183642,-0.000206013,-0.000422452,-0.000117911,-0.074534198,0.108907346,243.3333333
Membranipora_membranacea_ott970871,GCA_914767715.1_tzMemMemb1.1,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,19.64261529,-0.061709088,0.006293357,0.0009066,3.83E-05,0.000357291,8.01E-05,0.000183642,-0.000206013,-0.000422452,-0.000117911,-0.074534198,0.108907346,42
Pomacea_canaliculata_ott229287,GCA_003073045.1_ASM307304v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea canaliculata,19.902648,-0.064552126,0.007183223,0.001149675,5.91E-05,0.000732165,-0.000470572,-0.000212323,7.09E-05,0.00012672,-2.36E-05,-0.030223281,-0.062471819,1137.213889
Pomacea_maculata_ott4159401,GCA_004794325.1_ASM479432v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea maculata,19.88454884,-0.064552126,0.007183223,0.001149675,5.91E-05,0.000732165,-0.000470572,-0.000212323,7.09E-05,0.00012672,-2.36E-05,-0.030223281,-0.062471819,1095
Lanistes_nyassanus_ott468252,GCA_004794575.1_ASM479457v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Lanistes,Lanistes nyassanus,20.04478892,-0.064552081,0.007183209,0.001149671,5.91E-05,0.000732159,-0.000470565,-0.000212318,7.09E-05,0.000126716,-2.36E-05,-0.030221908,-0.062468571,3650
Marisa_cornuarietis_ott370521,GCA_004794655.1_Mca_v2.0.fa,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Marisa,Marisa cornuarietis,20.09831387,-0.064552081,0.007183209,0.001149671,5.91E-05,0.000732159,-0.000470565,-0.000212318,7.09E-05,0.000126716,-2.36E-05,-0.030221908,-0.062468571,534
Clea_helena_ott2901697,GCA_009936545.3_ASM993654v3,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Anentome,Anentome helena,19.62062961,-0.064548434,0.007182085,0.001149369,5.90E-05,0.000731718,-0.000469987,-0.000211947,7.07E-05,0.000126365,-2.35E-05,-0.030113388,-0.062212856,1642.5
Urosalpinx_cinerea_ott850826,GCA_034780015.1_ASM3478001v1,Mollusca,Gastropoda,Neogastropoda,Muricidae,Urosalpinx,Urosalpinx cinerea,20.41020131,-0.064559622,0.007185538,0.001150298,5.91E-05,0.00073308,-0.000471784,-0.000213107,7.13E-05,0.000127473,-2.37E-05,-0.030459944,-0.063034586,1825
Stramonita_haemastoma_haemastoma_ott545900,GCA_030674155.1_MNHN-Sthae-1,Mollusca,Gastropoda,Neogastropoda,Muricidae,Stramonita,Stramonita haemastoma,21.52821292,-0.064560478,0.007185802,0.001150369,5.91E-05,0.000733184,-0.000471921,-0.000213196,7.14E-05,0.000127558,-2.38E-05,-0.030486397,-0.063097287,2190
Rapana_venosa_ott672626,GCA_028751875.1_ASM2875187v1,Mollusca,Gastropoda,Neogastropoda,Muricidae,Rapana,Rapana venosa,21.55625441,-0.064560478,0.007185802,0.001150369,5.91E-05,0.000733184,-0.000471921,-0.000213196,7.14E-05,0.000127558,-2.38E-05,-0.030486397,-0.063097287,4501.666667
Concholepas_concholepas_ott685812,GCA_034780235.1_ASM3478023v1,Mollusca,Gastropoda,Neogastropoda,Muricidae,Concholepas,Concholepas concholepas,20.53245958,-0.064560478,0.007185802,0.001150369,5.91E-05,0.000733184,-0.000471921,-0.000213196,7.14E-05,0.000127558,-2.38E-05,-0.030486397,-0.063097287,2555
Babylonia_areolata_ott4958669,GCA_041734735.1_ASM4173473v1,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Babylonia,Babylonia areolata,21.22524703,-0.064557863,0.007184995,0.001150152,5.91E-05,0.000732866,-0.000471501,-0.000212925,7.12E-05,0.000127299,-2.37E-05,-0.03040555,-0.062905644,2190
Monoplex_corrugatus_ott2890223,GCA_030674185.1_MNHN-Mocor-1,Mollusca,Gastropoda,Littorinimorpha,Ranellidae,Monoplex,Monoplex corrugatus,21.84674573,-0.064549177,0.007182313,0.00114943,5.90E-05,0.000731806,-0.000470099,-0.000212017,7.08E-05,0.000126428,-2.35E-05,-0.030131813,-0.062254889,1505.625
Potamopyrgus_estuarinus_ott513707,GCA_040114235.1_ASM4011423v1,Mollusca,Gastropoda,Littorinimorpha,Tateidae,Potamopyrgus,Potamopyrgus estuarinus,20.05896457,-0.064550679,0.007182777,0.001149555,5.90E-05,0.000731989,-0.000470339,-0.000212172,7.08E-05,0.000126575,-2.35E-05,-0.030177868,-0.062363919,365
Oncomelania_hupensis_hupensis_ott965382,GCA_036898135.1_ASM3689813v1,Mollusca,Gastropoda,Littorinimorpha,Pomatiopsidae,Oncomelania,Oncomelania hupensis,21.09473159,-0.064550679,0.007182777,0.001149555,5.90E-05,0.000731989,-0.000470339,-0.000212172,7.08E-05,0.000126575,-2.35E-05,-0.030177868,-0.062363919,484
Littorina_saxatilis_ott182096,GCA_037325665.1_US_GU_Lsax_2.0,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina saxatilis,20.95135113,-0.064551365,0.007182988,0.001149611,5.91E-05,0.000732072,-0.000470449,-0.000212243,7.09E-05,0.000126643,-2.35E-05,-0.030198939,-0.062413819,2443.472222
Troschelvindex_candeana_ott7947181,GCA_018292915.2_EWHU_Batt_1.5,Mollusca,Gastropoda,Cerithioidea,Batillariidae,Batillaria,Batillaria attramentaria,20.38874996,-0.064551365,0.007182988,0.001149611,5.91E-05,0.000732072,-0.000470449,-0.000212243,7.09E-05,0.000126643,-2.35E-05,-0.030198939,-0.062413819,3650
Goniobranchus_kuniei_ott168509,GCA_025770095.1_ASM2577009v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus kuniei,20.89801824,-0.064835952,0.007271583,0.001173668,6.11E-05,0.00076841,-0.000521355,-0.000246892,9.06E-05,0.000163726,-3.33E-05,-0.043098533,-0.095278138,365
Goniobranchus_leopardus_ott168511,GCA_028566475.1_ASM2856647v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus leopardus,19.88519989,-0.064835952,0.007271583,0.001173668,6.11E-05,0.00076841,-0.000521355,-0.000246892,9.06E-05,0.000163726,-3.33E-05,-0.043098533,-0.095278138,365
Goniobranchus_geometricus_ott168517,GCA_028565895.1_ASM2856589v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus geometricus,20.62589135,-0.064835952,0.007271583,0.001173668,6.11E-05,0.00076841,-0.000521355,-0.000246892,9.06E-05,0.000163726,-3.33E-05,-0.043098533,-0.095278138,60
Goniobranchus_coi_ott319299,GCA_025762795.1_ASM2576279v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus coi,20.33330559,-0.064835952,0.007271583,0.001173668,6.11E-05,0.00076841,-0.000521355,-0.000246892,9.06E-05,0.000163726,-3.33E-05,-0.043098533,-0.095278138,365
Goniobranchus_fidelis_ott574892,GCA_028565935.1_ASM2856593v1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Goniobranchus,Goniobranchus fidelis,20.64992076,-0.064835952,0.007271583,0.001173668,6.11E-05,0.00076841,-0.000521355,-0.000246892,9.06E-05,0.000163726,-3.33E-05,-0.043098533,-0.095278138,53
Doris_montereyensis_ott579555,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,20.06988671,-0.064835412,0.007271415,0.001173622,6.11E-05,0.000768342,-0.000521259,-0.000246828,9.05E-05,0.000163658,-3.33E-05,-0.043075046,-0.095218674,288.9583333
Doris_verrucosa_ott720739,GCA_031762655.1_ASM3176265v1,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris verrucosa,20.21415378,-0.064835412,0.007271415,0.001173622,6.11E-05,0.000768342,-0.000521259,-0.000246828,9.05E-05,0.000163658,-3.33E-05,-0.043075046,-0.095218674,365
Ancula_gibbosa_ott739837,GCA_031833985.1_ASM3183398v1,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Ancula,Ancula gibbosa,20.27391035,-0.064834508,0.007271134,0.001173546,6.11E-05,0.000768227,-0.0005211,-0.00024672,9.05E-05,0.000163544,-3.32E-05,-0.043035757,-0.095119207,121.6666667
Plocamopherus_ceylonicus_ott917810,GCA_039654545.1_ASM3965454v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus ceylonicus,20.81301565,-0.064835123,0.007271325,0.001173598,6.11E-05,0.000768305,-0.000521208,-0.000246793,9.05E-05,0.000163621,-3.33E-05,-0.043062488,-0.095186875,365
Plocamopherus_imperialis_ott2875188,GCA_039654505.1_ASM3965450v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus imperialis,20.45508575,-0.064835123,0.007271325,0.001173598,6.11E-05,0.000768305,-0.000521208,-0.000246793,9.05E-05,0.000163621,-3.33E-05,-0.043062488,-0.095186875,90
Plocamopherus_tilesii_ott2875191,GCA_037974505.1_ASM3797450v1,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Plocamopherus,Plocamopherus tilesii,20.50215928,-0.064835123,0.007271325,0.001173598,6.11E-05,0.000768305,-0.000521208,-0.000246793,9.05E-05,0.000163621,-3.33E-05,-0.043062488,-0.095186875,109
Caecinella_luctuosa_ott5743994,GCA_031763155.1_ASM3176315v1,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,Dirona albolineata,20.07469135,-0.064838002,0.007272221,0.001173841,6.11E-05,0.000768671,-0.000521717,-0.000247138,9.07E-05,0.000163986,-3.34E-05,-0.043188252,-0.095505484,182.5
Scyllaea_pelagica_ott204536,GCA_031833965.1_ASM3183396v1,Mollusca,Gastropoda,Nudibranchia,Scyllaeidae,Scyllaea,Scyllaea pelagica,20.28772146,-0.064838002,0.007272221,0.001173841,6.11E-05,0.000768671,-0.000521717,-0.000247138,9.07E-05,0.000163986,-3.34E-05,-0.043188252,-0.095505484,365
Dendronotus_venustus_ott945191,GCA_031834005.1_ASM3183400v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,Dendronotus venustus,20.3378502,-0.064838052,0.007272236,0.001173845,6.11E-05,0.000768677,-0.000521726,-0.000247144,9.07E-05,0.000163992,-3.34E-05,-0.043190418,-0.095510967,365
Dendronotus_rufus_ott974461,GCA_032358575.1_ASM3235857v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,Dendronotus rufus,19.96112936,-0.064838052,0.007272236,0.001173845,6.11E-05,0.000768677,-0.000521726,-0.000247144,9.07E-05,0.000163992,-3.34E-05,-0.043190418,-0.095510967,365
Tritonia_festiva_ott277834,GCA_030265255.1_ASM3026525v1,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,Tritonia festiva,20.62679438,-0.064838086,0.007272247,0.001173848,6.11E-05,0.000768681,-0.000521732,-0.000247148,9.07E-05,0.000163997,-3.34E-05,-0.04319191,-0.095514746,365
Tritonia_tetraquetra_ott650633,GCA_030265355.1_ASM3026535v1,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,Tritonia tetraquetra,20.42289901,-0.064838086,0.007272247,0.001173848,6.11E-05,0.000768681,-0.000521732,-0.000247148,9.07E-05,0.000163997,-3.34E-05,-0.04319191,-0.095514746,365
Marioniopsis_babai_ott7960344,GCA_030265205.1_ASM3026520v1,Mollusca,Gastropoda,Nudibranchia,Dironidae,Dirona,Dirona pellucida,20.14725495,-0.064838078,0.007272244,0.001173847,6.11E-05,0.00076868,-0.000521731,-0.000247147,9.07E-05,0.000163996,-3.34E-05,-0.043191543,-0.095513817,365
Melibe_viridis_ott393507,GCA_039654465.1_ASM3965446v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Melibe,Melibe viridis,20.50743231,-0.064838106,0.007272253,0.00117385,6.11E-05,0.000768684,-0.000521736,-0.00024715,9.07E-05,0.000163999,-3.34E-05,-0.043192771,-0.095516927,128
Melibe_leonina_ott662108,GCA_031471865.1_ASM3147186v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Melibe,Melibe leonina,20.15294565,-0.064838106,0.007272253,0.00117385,6.11E-05,0.000768684,-0.000521736,-0.00024715,9.07E-05,0.000163999,-3.34E-05,-0.043192771,-0.095516927,365
Melibe_bucephala_ott2874829,GCA_039654525.1_ASM3965452v1,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Melibe,Melibe bucephala,20.54240044,-0.064838106,0.007272253,0.00117385,6.11E-05,0.000768684,-0.000521736,-0.00024715,9.07E-05,0.000163999,-3.34E-05,-0.043192771,-0.095516927,365
Lomanotus_vermiformis_ott979912,GCA_037974715.1_ASM3797471v1,Mollusca,Gastropoda,Nudibranchia,Lomanotidae,Lomanotus,Lomanotus vermiformis,20.61639677,-0.064838002,0.007272221,0.001173841,6.11E-05,0.000768671,-0.000521717,-0.000247138,9.07E-05,0.000163986,-3.34E-05,-0.043188252,-0.095505484,365
Hermissenda_crassicornis_ott159591,GCA_031471375.1_ASM3147137v1,Mollusca,Gastropoda,Nudibranchia,Glaucidae,Hermissenda,Hermissenda crassicornis,19.99475237,-0.064836752,0.007271832,0.001173735,6.11E-05,0.000768512,-0.000521496,-0.000246988,9.06E-05,0.000163828,-3.33E-05,-0.04313375,-0.095367451,160
Berghia_stephanieae_ott2876020,GCA_034508935.3_UCSD_Bste_1.2,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Berghia,Berghia stephanieae,20.83802532,-0.064836793,0.007271845,0.001173739,6.11E-05,0.000768517,-0.000521504,-0.000246993,9.06E-05,0.000163833,-3.33E-05,-0.043135521,-0.095371935,547.5
Aeolidia_papillosa_ott823222,GCA_032466315.1_ASM3246631v1,Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia papillosa,18.93201948,-0.064836793,0.007271845,0.001173739,6.11E-05,0.000768517,-0.000521504,-0.000246993,9.06E-05,0.000163833,-3.33E-05,-0.043135521,-0.095371935,273.75
Elysia_crispata_ott80756,GCA_033675545.1_ASM3367554v1,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia,Elysia crispata,20.48289484,-0.064826736,0.007268717,0.00117289,6.10E-05,0.000767239,-0.000519724,-0.000245788,8.99E-05,0.000162557,-3.30E-05,-0.042695275,-0.094256279,669.1666667
Elysia_chlorotica_ott388568,GCA_003991915.1_ElyChl2.0,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia,Elysia chlorotica,20.13893773,-0.064826736,0.007268717,0.00117289,6.10E-05,0.000767239,-0.000519724,-0.000245788,8.99E-05,0.000162557,-3.30E-05,-0.042695275,-0.094256279,466.3888889
Elysia_marginata_ott649165,GCA_019649035.1_Ema_v1,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Elysia,Elysia marginata,20.48795113,-0.064826736,0.007268717,0.00117289,6.10E-05,0.000767239,-0.000519724,-0.000245788,8.99E-05,0.000162557,-3.30E-05,-0.042695275,-0.094256279,270
Plakobranchus_ocellatus_ott462112,GCA_019648995.1_PoB_v1,Mollusca,Gastropoda,Sacoglossa,Plakobranchidae,Plakobranchus,Plakobranchus ocellatus,20.64842248,-0.064826723,0.007268713,0.001172889,6.10E-05,0.000767238,-0.000519722,-0.000245787,8.99E-05,0.000162555,-3.30E-05,-0.042694719,-0.094254873,152.0833333
Gastropteron_pacificum_ott2884606,GCA_031471215.1_ASM3147121v1,Mollusca,Gastropoda,Cephalaspidea,Gastropteridae,Gastropteron,Gastropteron pacificum,20.12383551,-0.064825918,0.007268463,0.001172821,6.10E-05,0.000767136,-0.000519581,-0.000245691,8.99E-05,0.000162454,-3.30E-05,-0.042660041,-0.094167196,365
Aplysia_californica_ott51009,GCA_000002075.2_AplCal3.0,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia californica,20.64778372,-0.064826165,0.007268539,0.001172842,6.10E-05,0.000767167,-0.000519624,-0.00024572,8.99E-05,0.000162485,-3.30E-05,-0.042670664,-0.094194052,365
Phyllaplysia_taylori_ott694793,GCA_032273245.1_ASM3227324v1,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Phyllaplysia,Phyllaplysia taylori,20.50790063,-0.064826165,0.007268539,0.001172842,6.10E-05,0.000767167,-0.000519624,-0.00024572,8.99E-05,0.000162485,-3.30E-05,-0.042670664,-0.094194052,273.75
Clione_limacina_ott191194,GCA_032362205.1_ASM3236220v1,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,Clione limacina,20.95618031,-0.064822233,0.007267317,0.001172511,6.10E-05,0.000766669,-0.000518932,-0.000245253,8.96E-05,0.000161992,-3.28E-05,-0.042501157,-0.093765476,730
Limacina_bulimoides_ott2883891,GCA_009866985.1_NBC_Lbul_1,Mollusca,Gastropoda,Pteropoda,Limacinidae,Limacina,Limacina bulimoides,21.7886451,-0.064822233,0.007267317,0.001172511,6.10E-05,0.000766669,-0.000518932,-0.000245253,8.96E-05,0.000161992,-3.28E-05,-0.042501157,-0.093765476,319.375
Tylodina_fungina_ott637191,GCA_031762815.1_ASM3176281v1,Mollusca,Gastropoda,Umbraculida,Tylodinidae,Tylodina,Tylodina fungina,20.32961301,-0.064822233,0.007267317,0.001172511,6.10E-05,0.000766669,-0.000518932,-0.000245253,8.96E-05,0.000161992,-3.28E-05,-0.042501157,-0.093765476,365
Biomphalaria_sudanica_ott268291,GCA_036873155.1_WU_Bs111_ccs,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria sudanica,20.66585736,-0.064820798,0.00726687,0.001172389,6.10E-05,0.000766484,-0.000518671,-0.000245074,8.95E-05,0.000161799,-3.28E-05,-0.04243336,-0.093591781,301
Biomphalaria_glabrata_ott673791,GCA_947242115.1_xgBioGlab47.1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria glabrata,20.56149223,-0.064820798,0.00726687,0.001172389,6.10E-05,0.000766484,-0.000518671,-0.000245074,8.95E-05,0.000161799,-3.28E-05,-0.04243336,-0.093591781,497.775
Biomphalaria_pfeifferi_ott960329,GCA_030265305.1_UNM_Bpfe_1.0,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria pfeifferi,20.46426122,-0.064820798,0.00726687,0.001172389,6.10E-05,0.000766484,-0.000518671,-0.000245074,8.95E-05,0.000161799,-3.28E-05,-0.04243336,-0.093591781,414.1527778
Biomphalaria_straminea_ott960333,GCA_021533235.1_Bstr_hk_v1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria straminea,20.7279997,-0.064820798,0.00726687,0.001172389,6.10E-05,0.000766484,-0.000518671,-0.000245074,8.95E-05,0.000161799,-3.28E-05,-0.04243336,-0.093591781,293.8
Anisus_vortex_ott882493,GCA_949126835.1_xgAniVort1.1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Anisus,Anisus vortex,20.58348027,-0.064820281,0.007266709,0.001172346,6.10E-05,0.000766419,-0.000518581,-0.000245013,8.95E-05,0.000161734,-3.28E-05,-0.042411219,-0.093535858,395.4166667
Physa_acuta_ott55904,GCA_028476545.3_ASM2847654v3,Mollusca,Gastropoda,Hygrophila,Physidae,Physella,Physella acuta,20.3694469,-0.064820543,0.00726679,0.001172368,6.10E-05,0.000766452,-0.000518627,-0.000245044,8.95E-05,0.000161767,-3.28E-05,-0.042422443,-0.093564208,326.547619
Radix_auricularia_ott274226,GCA_002072015.1_ASM207201v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Radix,Radix auricularia,20.62869586,-0.064820737,0.00726685,0.001172384,6.10E-05,0.000766476,-0.000518661,-0.000245067,8.95E-05,0.000161791,-3.28E-05,-0.042430718,-0.093585109,730
Radix_balthica_ott621116,GCA_944989445.1_Rbalt_genome_v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Ampullaceana,Ampullaceana balthica,20.82391389,-0.064820737,0.00726685,0.001172384,6.10E-05,0.000766476,-0.000518661,-0.000245067,8.95E-05,0.000161791,-3.28E-05,-0.042430718,-0.093585109,365
